,meal_name,category
1,חומוס עם בשר,עיקרית
2,שווארמה הודו,עיקרית
3,צ'וריסוס,עיקרית
4,לביבות ירק,צמחוני
5,פילה אמנון,דג
6,מרק מיניסטרוני,מרק
7,אורז מאודה,תוספת פחמימה
8,פתיתים אפויים,תוספת פחמימה
9,שעועית ירוקה,ירק חם
10,כוסמת,דגנים
11,ספגטי בולונז,עיקרית
12,נתחי עוף מוקפצים,עיקרית
13,כנף הודו ברוטב,עיקרית
14,ירקות מוקפצים,צמחוני
15,שניצל מרלוזה,דג
16,מרק בצל,מרק
17,בטטה בתנור,תוספת פחמימה
18,קישואים,ירק חם
19,חיטה,דגנים
20,פלפל ממולא,עיקרית
21,כבד עוף בבצל,עיקרית
22,חזה עוף "הום פרייד",עיקרית
23,קרפלך תפוחי אדמה,צמחוני
24,פילה לברק,דג
25,מרק אפונה,מרק
26,נודלס עם ירקות,תוספת פחמימה
27,אנטיפסטי ירקות,ירק חם
28,עדשים ירוקים,דגנים
29,קציצות בשר ביתיות,עיקרית
30,חזה עוף "על האש" צ'ימצ'ורי,עיקרית
31,מפרום בשר,עיקרית
32,פשטידת ירקות,צמחוני
33,קציצות דג,דג
34,מרק עוף ואטריות,מרק
35,קוסקוס ולקט ירקות,תוספת פחמימה
36,שעועית לבנה,ירק חם
37,חומוס,דגנים
38,המבורגר,עיקרית
39,שניצל ביתי,עיקרית
40,רביולי בטטה,צמחוני
41,פילה סול,דג
42,תפוחי אדמה בתנור,תוספת פחמימה
43,קינואה,דגנים
44,גולש בשר,עיקרית
45,כבד עוף,עיקרית
46,קציצות עדשים,צמחוני
47,נסיכת הנילוס,דג
48,מרק עגבניות,מרק
49,מוסקה בשר,עיקרית
50,קבב מזרחי,עיקרית
51,צלי הודו,עיקרית
52,כנפיים עוף,עיקרית
53,כנף הודו,עיקרית
54,כרוב מאודה,ירק חם
55,צלי בקר ברוטב,עיקרית
56,אגרול ירקות,צמחוני
57,צ'יפס,תוספת פחמימה
58,לזניה בשר,עיקרית
59,פילה נסיכה,דג
60,מרק כרוב,מרק
61,ארטישוק ממולא,עיקרית
