meal_name, price
שלושה בורקסים ואקסל, 25 שח
כדור גלידה בגולדה, 18 שח
כדור גלידה בגרמניה, 1 יורו
שוקו חם בשטרסבורג, 8 שח
חניה ברוטשילד, 2000 שח
מים לחם וגבינה צהובה, 27 שח
תה ליפטון, לא ידוע
מים ועוגיות, 23 שח
קפה תה ובקבוק סודה בלי טיפ, 52 שח
קפה תה ובקבוק סודה עם טיפ, 57 שח
כריך ותה, 48 שח
סניקרס בצ'כיה, 2 שח
סניקרס בישראל, 8 שח
ביס כריך טונה, 18 שח
קפה ומאפה, 25 שח
פנקייקים וקפה עם טיפ בצ'כיה, 13 שח
פנקייקים וקפה עם טיפ בישראל אחרי הנחה, 70 שח
מנת בשרים מושקעת בצ'כיה עם צ'יפס וסלט עם אבוקדו, 100 שח
סלט בשדה התעופה בצ'כיה, 24 שח
גלידה בגביע בצ'כיה, 5 שח
גלידה בגביע בגרמניה, 3 שח
גלידה בגביע בארה"ב, 6 שח
גלידה בגביע בישראל, 18 שח
פיצה בצ'כיה, 20 שח
המבורגר צ'יפס וקולה במקדונלדס צ'כיה, 22 שח
המבורגר צ'יפס וקולה במקדונלדס ישראל, 48 שח
מארס קאונטרי ו2 סניקרס, 29 שח
ארוחה בשרית מזנון הכנסת, 25 שח
ארוחת צהריים אוניברסיטת ת"א, 45 שח
קפה קטן וגרוע בנתב"ג, 15 שח
בקבוקי מים בוועדות הכנסת (שנתי), 700000 שח
קמח רוטב עגבניות תירס פטריה זיתים גבנ"צ, 58 שח
