,Name,KosherType,Prep_Ease,Prep_Time,Cook_Time,Rank,Scaling,TA,times_made,Timestamp,recipe_suggestion,Name_HE,Kids
0,chicken,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
1,vegetable,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
2,tomato,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
3,tomato with rice,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
4,onions,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
5,lentils,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
6,harira,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
7,orange (color),nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
8,pea,nonkosher,5.0,,,5.0,0.0,0.0,0.0,,,,0.0
