,Name,KosherType,Prep_Ease,Prep_Time,Cook_Time,Rank,Scaling,TA,times_made,Timestamp,recipe_suggestion,Name_HE
0,Pasta Rose,2,2,,,4,,0,0,,,
1,Stir Fried Vegetables,0,6,,,8,,0,0,,,
2,Hot Salad,0,7,,,8,,0,0,,,
3,Hamburger and Fries,3,4,,,7,,0,0,,,
4,Pizza,2,5,,,7,,0,0,,,
5,Sushi,1,10,,,7,,0,0,,,
6,Shushi TA,3,0,,,8,,1,0,,,
7,Fried Eggs,1,2,,,6,,0,0,,,
8,Shakshuka,1,4,,,5,,0,0,,,
9,Pasta tomato,0,4,,,3,,0,0,,,
10,Stir Fried Veggies Frozen Bag,0,4,,,7,,0,0,,,
11,toasts,2,3,,,4,,0,0,,,
12,Eggs Benedict,2,10,,,9,,0,0,,,
13,Nachos,0,6,,,7,,0,0,,,
14,Gnochi,0,9,,,8,,0,0,,,
15,Broccoli and Cauliflower,0,0,,,5,,0,0,,,
16,Baguette,0,8,,,7,,0,0,,,
17,Ramen,3,8,,,7,,0,0,,,
18,Grilled Cheese,2,3,,,6,,0,0,,,
19,Salami Sandwich,3,2,,,5,,0,0,,,
20,Pasta mashroom cream sauce,2,3,,,7,,0,0,,,
21,Pasta Bolognese,3,6,,,7,,0,0,,,
22,Pasta Cacio e Pepe,2,3,,,5,,0,0,,,
23,Pasta Broccoli and Almonds,0,6,,,7,,0,0,,,
24,Lasagna,2,6,,,8,,0,0,,,
25,Hamburger TA,3,0,,,8,,1,0,,,
26,Pizza TA,2,0,,,5,,1,0,,,
27,Potatoes with cheese (myabe cottage),2,4,,,4,,0,0,,,
28,Pancakes,1,6,,,7,,0,0,,,
29,Pasta Oli Olio,0,6,,,9,,0,0,,,
30,Bagels,0,7,,,8,,0,0,,,
31,Cornflakes,0,0,,,1,,0,0,,,
32,Pasta Sweetpotato cream sauce,2,5,,,5,,0,0,,,
33,Bruschetta tomato basil,0,5,,,7,,0,0,,,
34,Diced baked potato and sweet potato,0,4,,,5,,0,0,,,
35,Antipasto,0,4,,,4,,0,0,,,
36,Kitchen Coach sweet potato,0,4,,,6,,0,0,,,
37,Garlic bread,0,7,,,9,,0,0,,,
38,Creamed Potatoes,2,7,,,7,,0,0,,,
